name,group,Amazon,Buy.com,HSN,JCP,Macy's,Odotco,QVC,Sears,Target,Walmart
16-GB Memory Card,Electronics,0.986621026,0.919813874,0.879321255,0.989236594,0.76,0.990976082,0.968702969,0.99249205,0.985780224,0.999180993
3-piece Sleigh Cribset,Baby,0.885830529,0.55,0.969721713,0.946704992,0.76,0.76,0.946724496,0.7,0.750623754,0.872146081
32-GB Ipod Touch,Electronics,0.990685287,0.867861086,0.962296456,0.957285478,0.76,0.983636561,1,0.999477273,1,0.991305924
50-gal Fish Tank And Stand,Home & Kitchen,0.924058235,0.55,0.76,0.65,0.76,0.76,0.65,0.858530742,0.65,0.91913376
50' Lthd Plasma Tv Flat Screen,Electronics,0.6,0.55,0.961432158,0.65,0.76,0.76,1,0.92118993,1,0.943200459
Acer 15.6,Computers,0.965296754,0.911780991,0.99245705,0.65,0.76,0.991543252,0.998762783,0.996158949,0.998833345,0.992919611
Acer Desk Top,Computers,0.689078853,0.757510695,0.98300131,0.920781975,0.76,0.76,0.971054261,0.896007795,0.911891669,0.984740864
Acer Notebook,Computers,0.952916458,0.907649677,0.993419605,0.888430825,0.76,0.937721065,0.939039451,0.990310116,0.971248686,0.994093165
All In The Family,Movies & Tv,0.995739476,0.739313753,0.941517978,0.878355257,0.925787271,0.923340177,0.959437548,0.956754309,0.993332361,0.99735087
Beach Chair,Sports & Outdoors,0.961039017,0.894607507,0.76,0.800785233,1,0.877123093,0.801702794,0.980335522,0.972492457,0.983946959
Bill Me Later,Other,1,0.936040342,0.76,0.65,0.76,0.893254819,0.97526614,1,1,0.974379106
Black Ottoman,Home & Kitchen,0.977294145,0.802006864,0.903779013,0.960031518,0.932207062,0.988134039,0.984568389,0.986539748,0.901260356,0.987186819
Blackout Curtains,Home & Kitchen,0.994528251,0.93310783,0.76,0.961658609,0.76,0.99917852,0.65,0.932743499,0.975303675,0.955457155
Book Shelf,Home & Kitchen,0.891999986,0.833386192,1,0.977729616,0.875689865,0.997959437,1,0.993703936,0.977820967,0.970519977
Bookase,Home & Kitchen,0.851455483,0.787499659,0.975926015,0.96298476,0.76,1,0.931177284,1,0.938983687,0.976530142
Boxing Gloves,Sports & Outdoors,0.845319231,0.814263609,1,0.927379908,1,0.984027207,0.981052447,0.98539014,0.894092799,0.979429752
Breast Pumps,Baby,0.855951718,0.924504614,0.76,1,0.76,0.980017292,0.65,0.995091257,0.956109511,0.996764817
Bunk Bed Mattress Set,Home & Kitchen,0.894983736,0.55,0.921879706,0.911207819,0.76,0.76,0.939227626,0.977285891,0.75090453,0.966478284
Camera Bags,Electronics,0.829815522,0.876789717,0.928742007,1,0.997815054,0.988981819,0.881795926,0.982692817,0.957828447,0.982375079
Camisoles,Clothing,0.849525333,0.859402871,0.997620528,0.986876774,0.963164472,0.998081857,0.923623635,0.997705518,0.926093363,0.953760407
Cane,Health & Personal Care,0.835181699,0.768810519,0.828833824,1,0.9705303,0.942759627,0.913414815,0.995545448,0.975697407,0.991857258
Canon Powershot 14.1 Camera,Electronics,0.98758959,0.885843394,0.973214849,0.65,0.76,0.99689789,1,0.986507111,0.947519986,0.961203795
Ceiling Fans,Home & Kitchen,0.851007296,0.711191897,1,0.993892003,0.76,0.999862248,0.938555461,0.979369946,0.993309589,0.991781114
Changing Table Pads,Baby,0.981874785,0.759914454,1,0.964308542,0.76,0.990190297,0.900164552,0.93551059,0.972614324,0.894217817
Cherry,Books,0.902534016,0.832660679,0.992766002,0.917815814,0.840248855,0.876377609,0.916434265,0.91000266,0.906130629,0.908875965
Childrens Bedding,Home & Kitchen,0.986110815,0.799857881,0.76,0.982275371,0.933909904,0.950037959,0.906592461,0.965515208,0.939814141,0.985273357
Chuck Wicks,Music,0.977298712,0.883630815,0.76,0.902918449,0.76,1,1,0.970578284,1,1
Class Ring,Books,0.939985351,0.798489232,0.76,1,0.932992643,0.925975216,1,0.984131009,0.910656857,0.984804219
Coolpix S70,Electronics,0.987562712,0.845446278,0.76,1,0.76,0.9705303,1,0.849816544,1,1
Cordless Phone System,Electronics,0.992992872,0.774390548,1,1,0.76,0.966595359,0.976205264,0.980464757,0.973005004,0.987663149
Coverlets,Home & Kitchen,0.8394507,0.870852384,0.974339072,0.98658051,0.996825667,0.985357175,0.968612853,0.964168121,0.999094856,0.946799373
Crib Sheets,Baby,0.937461633,0.900358399,0.76,0.909808293,0.76,0.988897306,1,0.998101229,0.99907685,0.997790532
Cricut Design Studio Bonus,Computers,1,0.55,0.947793352,1,0.76,0.76,0.853892704,0.893982002,0.951790032,0.968940317
Croquet Set,Sports & Outdoors,0.991543252,0.931652729,1,0.941796099,0.76,0.992900811,0.65,0.998394952,1,0.998101229
Cubby Woven Runner,Home & Kitchen,0.6,0.55,0.76,0.857006038,0.76,0.76,0.921328548,0.929323581,1,0.971845012
Cyber-Shot DSC-HX1,Electronics,0.945960114,0.869013601,0.76,0.65,0.76,0.76,0.65,0.7,0.985516536,1
Da Vinci Parker Changing Table,Baby,0.929826423,0.933937619,0.76,0.65,0.76,0.99195088,0.65,0.98319321,0.998940215,0.999824581
Digital Camera,Electronics,0.819244768,0.861625721,0.966007023,1,0.945217084,0.93706616,0.998075735,0.999300821,0.875298835,0.991211201
Drawer Wide Cart,Home & Kitchen,0.956455059,0.915828829,0.955115629,0.885145492,0.76,1,0.720257779,0.957024164,1,1
Dyson DC24 All Floors Vacuum,Home & Kitchen,0.93343014,0.913994259,1,1,1,0.991631539,1,0.980376199,1,0.982005861
Earth Spirit,Clothing,0.968583405,0.634071648,0.76,1,1,0.871540995,0.65,0.964153537,0.980814612,0.992231739
Fireplcae,Sports & Outdoors,0.829563038,0.55,0.852673994,0.998629589,0.76,0.76,0.890992734,0.7,0.853125422,0.974880145
Flanel Crib Sheet,Baby,0.970012941,0.92952022,0.76,0.915504234,0.76,0.76,1,0.957387268,0.987131639,0.8999914
Folding Beds,Home & Kitchen,0.978363633,0.674166446,0.76,1,0.76,0.990362445,1,0.985993406,0.971541017,0.993213086
Frigidaire FAD504TDD Dehumidifier,Home & Kitchen,1,0.903474342,0.76,0.65,0.76,0.76,0.65,0.7,0.65,1
Garbage Cans,Home & Kitchen,0.962667767,0.804744683,0.981037814,0.706430182,0.996686807,0.914060322,0.65,0.997075251,0.900755898,0.992299505
Garland,Home & Kitchen,0.985993378,0.779489794,0.831809777,0.65,1,0.827386956,0.981905726,0.96242706,0.826001577,0.900337974
